canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
CC(C)(C[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc2O1)C(=O)O,CHEMBL4472508,Inhibition,%,9.5,INH,%,9.5
O=C(O)C1(C[C@H]2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)c3cc(-c4cc(F)ccc4F)ccc3O2)CCOCC1,CHEMBL4868437,Inhibition,%,5.0,INH,%,5.0
O=C(O)C1(C[C@H]2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)c3cc(-c4cc(F)cc(OC(F)F)c4)ccc3O2)CCOCC1,CHEMBL4869567,Inhibition,%,-2.0,INH,%,-2.0
O=C(O)C1(C[C@H]2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)c3cc(-c4cccc(Cl)c4F)ccc3O2)CCOCC1,CHEMBL4849995,Inhibition,%,36.0,INH,%,36.0
CC(C)(C[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc2O1)C(=O)O,CHEMBL4472508,Inhibition,%,,INH,,
COc1nc(C2=NOC(C3CC3)C(c3ccc(Cl)cc3)N2)ccc1-n1cnc(C)c1,CHEMBL4848062,Inhibition,%,,INH,,
O=C(Nc1cnn(-c2csc(C(=O)NC3COC3)c2)c1)Nc1ccccc1Cl,CHEMBL4753641,Inhibition,%,-34.0,INH,%,-34.0
O=C(NC1COC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)cnc32)cs1,CHEMBL4872493,Inhibition,%,14.0,INH,%,14.0
O=C(NC1COC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4847784,Inhibition,%,-56.0,INH,%,-56.0
CNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4874134,Inhibition,%,-13.0,INH,%,-13.0
CNC(=O)c1cc(-n2ncc3cc(Oc4ccccc4Cl)ccc32)cs1,CHEMBL4864514,Inhibition,%,-14.0,INH,%,-14.0
CNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)cnc32)cs1,CHEMBL4851793,Inhibition,%,57.0,INH,%,57.0
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)cnc32)cs1,CHEMBL4857979,Inhibition,%,34.0,INH,%,34.0
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)c(C)nc32)cs1,CHEMBL4859957,Inhibition,%,-2.0,INH,%,-2.0
Cc1nc2c(cnn2-c2csc(C(=O)NC3COC3)c2)cc1Nc1c(F)cccc1Cl,CHEMBL4845770,Inhibition,%,71.0,INH,%,71.0
NS(=O)(=O)c1ccc(-c2n[nH]c3cc(F)ccc23)cc1,CHEMBL4879048,Inhibition,%,,INH,,
NC(=O)c1ccc(NS(=O)(=O)c2cccc(-c3n[nH]c4cc(F)ccc34)c2)cc1,CHEMBL4866649,Inhibition,%,,INH,,
CN1CCN(c2ccc(C(=O)Nc3n[nH]c4c3CN(Cc3cc(F)cc(F)c3)C4(C)C)cc2)CC1,CHEMBL4849505,Inhibition,%,6.4,INH,%,6.4
COC[C@@H](C)n1c(C2CCOCC2)nc2cnc3cc(-c4c(C)noc4C)c(OC)cc3c21,CHEMBL4878439,Inhibition,%,,INH,,
COC[C@@H](C)n1c(C2CCOCC2)nc2cnc3cc(-c4c(C)noc4C)c(OC)cc3c21,CHEMBL4878439,Inhibition,%,,INH,,
O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(Cc4cccs4)CC3)c(O)cc(O)c12,CHEMBL4868405,Inhibition,%,93.4,INH,%,93.4
O=S(=O)(c1ccccc1)n1ccc2c(OCCNCCNc3c4c(nc5ccccc35)CCCC4)cccc21,CHEMBL4850546,Inhibition,%,,INH,,
CCN(C)C(=O)Oc1cccc(CNCCNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)c1,CHEMBL4845823,Inhibition,%,,INH,,
O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1ccc2c(c1)C1(CCS(=O)(=O)CC1)[C@H](C1CC1)N2S(=O)(=O)c1ccc(F)cc1,CHEMBL4537788,Inhibition,%,38.0,% inhibition,%,38.0
COc1ccc2cc(OCC3(C(=O)O)CN(C(=O)c4ccc(F)cc4)C3)ccc2c1,CHEMBL3286797,Inhibition,%,17.0,% inhibition,%,17.0
NC(=O)c1sc2nccc(N3CCCCC3)c2c1N,CHEMBL2348334,Inhibition,%,23.0,INH,%,23.0
CCOCCOC[C@H]1CCCN(c2ccnc3sc(C(N)=O)c(N)c23)C1,CHEMBL5071605,Inhibition,%,10.0,INH,%,10.0
NC(=O)c1sc2nccc(N3CCCN(c4ccccc4)CC3)c2c1N,CHEMBL2348339,Inhibition,%,49.0,INH,%,49.0
CCCC(N)C(=O)NCCc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1.Cl,CHEMBL5087085,Inhibition,%,70.0,INH,%,70.0
CCCC(N)C(=O)NCCc1ccc(-c2ccc(Cl)c(Cl)c2)cc1.Cl,CHEMBL5082793,Inhibition,%,43.7,INH,%,43.7
CCCC(NC)C(=O)NCCc1ccc(-c2ccc(C(F)(F)F)cc2)cc1.Cl,CHEMBL5087412,Inhibition,%,,INH,,
CCCCC(N)C(=O)NCCc1ccc(-c2ccc(Cl)c(Cl)c2)cc1.Cl,CHEMBL5079175,Inhibition,%,70.0,INH,%,70.0
Cc1n[nH]c(C)c1N1CCN(c2cc(C(=O)O)ccc2F)CC1,CHEMBL5080175,Inhibition,%,-2.2,INH,%,-2.2
Cc1n[nH]c(C)c1N1CCN(c2cc(C(=O)O)ccc2C(=O)O)CC1,CHEMBL5082796,Inhibition,%,19.6,INH,%,19.6
Cc1ccc(C(=O)O)cc1N1CCN(c2c(C)n[nH]c2C)CC1,CHEMBL5090952,Inhibition,%,-5.2,INH,%,-5.2
Cc1n[nH]c(C)c1N1CCN(c2cc(C(=O)O)ccc2C(F)(F)F)CC1,CHEMBL5080942,Inhibition,%,14.8,INH,%,14.8
Cc1n[nH]c(C)c1N1CCN(c2cc(C(=O)O)ccc2Cl)CC1,CHEMBL5091368,Inhibition,%,19.5,INH,%,19.5
Cc1cc(F)c(N2CCN(c3c(C)n[nH]c3C)CC2)cc1C(=O)O,CHEMBL5085751,Inhibition,%,31.7,INH,%,31.7
Cc1n[nH]c(C)c1N1CCN(c2cc(-c3nn[nH]n3)ccc2F)CC1,CHEMBL5093498,Inhibition,%,18.9,INH,%,18.9
NC1=N[C@@]2(c3cc(NC(=O)c4ccc(F)cn4)ccc3F)COC[C@H]2CS1,CHEMBL2396989,Inhibition,%,0.0,INH,%,0.0
NC1=N[C@@]2(c3cc(NC(=O)c4ccc(F)cn4)ccc3F)CN(c3ncc(F)cn3)C[C@H]2CS1,CHEMBL3667410,Inhibition,%,11.0,INH,%,11.0
NC1=N[C@@]2(c3cc(NC(=O)c4ncc(F)cc4F)ccc3F)CN(c3ncc(F)cn3)C[C@H]2CS1,CHEMBL3667415,Inhibition,%,43.0,INH,%,43.0
COc1cnc(C(=O)Nc2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)cn1,CHEMBL4452566,Inhibition,%,15.0,INH,%,15.0
C[C@H](O)[C@H]1NC(=O)[C@@H]2NC(=O)[C@@H](NC(=O)CN)CSSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(O)O)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)c(I)c1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@H](CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O)Cc1ccc(O)cc1)CSCS2,CHEMBL5090753,Inhibition,%,,INH,,
COc1cc(N(C(=O)NCCCn2cncc2C)C2CCN(C)CC2)ccc1OCCc1ccnc(N)c1,CHEMBL5089539,Inhibition,%,50.0,INH,%,50.0
COc1cc(N(C(=O)NCc2ccc3[nH]cnc3c2)C2CCN(C)CC2)ccc1OCCCCc1ccnc(N)c1,CHEMBL5081502,Inhibition,%,48.0,INH,%,48.0
CC12CC3CC(NC(=O)N[C@H]4CC[C@H](Oc5ccc(C(=O)O)cc5)CC4)(CC(C1)c1ccccc13)C2,CHEMBL5081862,Inhibition,%,2.0,INH,%,2.0
O=C(NC12CC3CC(Cl)(CC(C1)c1ccccc13)C2)N[C@H]1CC[C@H](Oc2ccc(C(=O)O)cc2)CC1,CHEMBL5084744,Inhibition,%,1.0,INH,%,1.0
CC12CC3CC(NC(=O)N[C@H]4CC[C@H](Oc5ccc(C(=O)O)cc5)CC4)(CC(C1)c1ccccc13)C2,CHEMBL5081862,Inhibition,%,14.0,INH,%,14.0
O=C(NC12CC3CC(Cl)(CC(C1)c1ccccc13)C2)N[C@H]1CC[C@H](Oc2ccc(C(=O)O)cc2)CC1,CHEMBL5084744,Inhibition,%,52.0,INH,%,52.0
O=C(CCNC(=O)c1cccn(Cc2ccc(F)c(F)c2)c1=O)Nc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,CHEMBL5081056,Inhibition,%,90.0,INH,%,90.0
Cc1ccc(C(=O)NCC(=O)Nc2ccc3c(c2)/C(=C/c2cnc[nH]2)C(=O)N3)c(=O)n1Cc1ccc(F)c(F)c1,CHEMBL5087446,Inhibition,%,90.0,INH,%,90.0
Cc1c(Br)cc(C(=O)N[C@@H](C(=O)Nc2ccc3c(c2)/C(=C/c2cnc[nH]2)C(=O)N3)c2ccccc2)c(=O)n1Cc1ccc(F)c(F)c1,CHEMBL5092990,Inhibition,%,45.0,INH,%,45.0
O=S(=O)(Nc1ccc(S(=O)(=O)C(F)(F)F)cc1Oc1cc(F)cc(F)c1)c1ccccc1,CHEMBL5082788,Inhibition,%,,INH,,
O=C(NO)c1ccc(/C=C/c2ccnc(-c3ccccc3O)c2)cc1,CHEMBL5075646,Inhibition,%,87.9,INH,%,87.9
Cc1ccc(-c2cc(/C=C/c3ccc(C(=O)NO)cc3)ccn2)c(F)c1,CHEMBL5093633,Inhibition,%,47.6,INH,%,47.6
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL75,Inhibition,%,65.9,INH,%,65.9
