canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
COC(=O)C1=C(C)N=C(C)/C(=C(\O)OC)C1c1cccc(C#N)c1,CHEMBL25312,Inhibition,%,91.0,Inhibition,%,91.0
COC(=O)C1=C(C)N=C(C)/C(=C(\O)OC)C1c1cccc(C#N)c1,CHEMBL25312,Inhibition,%,91.0,Inhibition,%,91.0
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,CHEMBL1428,Inhibition,%,85.0,Inhibition,%,85.0
COC(=O)C1=C(C)N=C(C)/C(=C(\O)OC)C1c1ccc(C)cc1,CHEMBL25934,Inhibition,%,93.0,Inhibition,%,93.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1c(F)c(F)cc(F)c1F,CHEMBL43470,Inhibition,%,87.0,Inhibition,%,87.0
CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],CHEMBL441428,Inhibition,%,88.0,Inhibition,%,88.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1Cc1ccccc1,CHEMBL290650,Inhibition,%,90.0,Inhibition,%,90.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1Cc1ccccc1,CHEMBL290650,Inhibition,%,25.0,Inhibition,%,25.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1Cc1ccccc1,CHEMBL290650,Inhibition,%,86.0,Inhibition,%,86.0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,CHEMBL475534,Inhibition,%,83.0,Inhibition,%,83.0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1,CHEMBL1099205,Inhibition,%,73.0,Inhibition,%,73.0
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1CC,CHEMBL290591,Inhibition,%,,Inhibition,%,
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1CC,CHEMBL290591,Inhibition,%,45.0,Inhibition,%,45.0
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1CC,CHEMBL290591,Inhibition,%,89.0,Inhibition,%,89.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CHEMBL193,Inhibition,%,88.0,Inhibition,%,88.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C(C)C,CHEMBL418249,Inhibition,%,,Inhibition,%,
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C(C)C,CHEMBL418249,Inhibition,%,32.0,Inhibition,%,32.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C(C)C,CHEMBL418249,Inhibition,%,89.0,Inhibition,%,89.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C1CC=CCC1,CHEMBL41794,Inhibition,%,,Inhibition,%,
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C1CC=CCC1,CHEMBL41794,Inhibition,%,27.0,Inhibition,%,27.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C1CC=CCC1,CHEMBL41794,Inhibition,%,86.0,Inhibition,%,86.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1ccc(Cl)c([N+](=O)[O-])c1,CHEMBL41432,Inhibition,%,91.0,Inhibition,%,91.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1cccc(Cl)c1,CHEMBL38597,Inhibition,%,86.0,Inhibition,%,86.0
CCCCCO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCCOCCC)C1c1cccc([N+](=O)[O-])c1,CHEMBL288857,Inhibition,%,80.0,Inhibition,%,80.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1c(F)cccc1Cl,CHEMBL288883,Inhibition,%,88.0,Inhibition,%,88.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1ccc(C(F)(F)F)cc1,CHEMBL40451,Inhibition,%,79.0,Inhibition,%,79.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1,CHEMBL2063842,Inhibition,%,90.0,Inhibition,%,90.0
Cc1cccc(S(=O)(=O)NCC(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1,CHEMBL64869,Inhibition,%,76.0,Inhibition,%,76.0
O=S(=O)(NCC(c1ccc(C(F)(F)F)cc1)N1CCN(CC(O)COc2ccc(F)cc2)CC1)c1ccccc1Cl,CHEMBL64823,Inhibition,%,92.0,Inhibition,%,92.0
COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1,CHEMBL61336,Inhibition,%,94.0,Inhibition,%,94.0
O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccccc2)CC1)c1ccc(F)cc1,CHEMBL60271,Inhibition,%,61.0,Inhibition,%,61.0
COc1ccc(OC)c(S(=O)(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1,CHEMBL64583,Inhibition,%,100.0,Inhibition,%,100.0
Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,CHEMBL60843,Inhibition,%,53.0,Inhibition,%,53.0
COc1ccc(C(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Cl)cc3)CC2)cc1,CHEMBL61283,Inhibition,%,96.0,Inhibition,%,96.0
COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3)c3ccccc3)CC2)cc1,CHEMBL64177,Inhibition,%,79.0,Inhibition,%,79.0
COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(F)cc3)CC2)cc1,CHEMBL60847,Inhibition,%,49.0,Inhibition,%,49.0
COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccc(F)cc3)CC2)cc1,CHEMBL416848,Inhibition,%,97.0,Inhibition,%,97.0
COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,CHEMBL59712,Inhibition,%,87.0,Inhibition,%,87.0
COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccccc3)CC2)cc1,CHEMBL64018,Inhibition,%,90.0,Inhibition,%,90.0
COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,CHEMBL64114,Inhibition,%,70.0,Inhibition,%,70.0
COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,CHEMBL64831,Inhibition,%,95.0,Inhibition,%,95.0
COc1ccccc1C(=O)NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1,CHEMBL60666,Inhibition,%,61.0,Inhibition,%,61.0
COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccc(F)cc3)CC2)cc1,CHEMBL433100,Inhibition,%,88.0,Inhibition,%,88.0
COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1,CHEMBL59644,Inhibition,%,68.0,Inhibition,%,68.0
COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccccc3)CC2)cc1,CHEMBL62240,Inhibition,%,71.0,Inhibition,%,71.0
COc1ccc(CNC(=O)C(c2ccc(OC)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,CHEMBL61501,Inhibition,%,74.0,Inhibition,%,74.0
COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3OC)c3ccccc3)CC2)cc1,CHEMBL64688,Inhibition,%,93.0,Inhibition,%,93.0
COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccc(F)cc3)CC2)cc1,CHEMBL63060,Inhibition,%,79.0,Inhibition,%,79.0
COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C)cc3)CC2)cc1,CHEMBL291629,Inhibition,%,65.0,Inhibition,%,65.0
Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(F)cc2)CC1,CHEMBL305591,Inhibition,%,38.0,Inhibition,%,38.0
COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(F)cc3)c3ccccc3)CC2)cc1,CHEMBL64491,Inhibition,%,22.0,Inhibition,%,22.0
Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,CHEMBL60568,Inhibition,%,44.0,Inhibition,%,44.0
O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1)c1ccc(C(F)(F)F)cc1,CHEMBL62878,Inhibition,%,69.0,Inhibition,%,69.0
COc1ccc(CNC(=O)C(c2ccc(C)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,CHEMBL64767,Inhibition,%,74.0,Inhibition,%,74.0
COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,CHEMBL279835,Inhibition,%,62.0,Inhibition,%,62.0
COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,CHEMBL60622,Inhibition,%,88.0,Inhibition,%,88.0
COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,CHEMBL64505,Inhibition,%,81.0,Inhibition,%,81.0
CCNS(=O)(=O)Oc1cc(C(C)(C)C)c(SC2=C(O)OC(C)(CCc3ccc(O)cc3)CC2=O)cc1C,CHEMBL71472,Inhibition,%,1.0,Inhibition,%,1.0
CCNS(=O)(=O)Oc1cc(C(C)(C)C)c(SC2=C(O)OC(C)(CCc3ccc(O)cc3)CC2=O)cc1C,CHEMBL71472,Inhibition,%,10.0,Inhibition,%,10.0
CCNS(=O)(=O)Oc1cc(C(C)(C)C)c(SC2=C(O)OC(C)(CCc3ccc(O)cc3)CC2=O)cc1C,CHEMBL71472,Inhibition,%,58.0,Inhibition,%,58.0
Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)N1CCN(C)CC1,CHEMBL71509,Inhibition,%,0.0,Inhibition,%,0.0
Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)N1CCN(C)CC1,CHEMBL71509,Inhibition,%,22.0,Inhibition,%,22.0
Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)N1CCN(C)CC1,CHEMBL71509,Inhibition,%,81.0,Inhibition,%,81.0
Cc1cc(SC2=C(O)O[C@](CCc3ccc(N)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1CO,CHEMBL285759,Inhibition,%,4.0,Inhibition,%,4.0
Cc1cc(SC2=C(O)O[C@](CCc3ccc(N)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1CO,CHEMBL285759,Inhibition,%,16.0,Inhibition,%,16.0
Cc1cc(SC2=C(O)O[C@](CCc3ccc(N)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1CO,CHEMBL285759,Inhibition,%,30.0,Inhibition,%,30.0
Cc1cc(SC2=C(O)O[C@](CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1N,CHEMBL2114404,Inhibition,%,103.0,Inhibition,%,103.0
Cc1cc(SC2=C(O)O[C@](CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1N,CHEMBL2114404,Inhibition,%,96.8,Inhibition,%,96.8
Cc1cc(SC2=C(O)O[C@](CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1N,CHEMBL2114404,Inhibition,%,41.1,Inhibition,%,41.1
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,CHEMBL5483011,Inhibition,%,27.0,Inhibition,%,27.0
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,CHEMBL5483011,Inhibition,%,5.0,Inhibition,%,5.0
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,CHEMBL5483011,Inhibition,%,0.0,Inhibition,%,0.0
Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)c1ccc(C#N)cc1,CHEMBL168839,Inhibition,%,79.0,Inhibition,%,79.0
Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)c1ccc(C#N)cc1,CHEMBL168839,Inhibition,%,34.6,Inhibition,%,34.6
Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)c1ccc(C#N)cc1,CHEMBL168839,Inhibition,%,6.86,Inhibition,%,6.86
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Cl)c2)[nH]1,CHEMBL113060,Inhibition,%,48.8,Inhibition,%,48.8
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,CHEMBL10,Inhibition,%,61.0,Inhibition,%,61.0
CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,CHEMBL113419,Inhibition,%,81.4,Inhibition,%,81.4
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1C1CC(C)(C)NC(C)(C)C1,CHEMBL323734,Inhibition,%,79.0,Inhibition,%,79.0
C[S+]([O-])c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,CHEMBL111456,Inhibition,%,87.1,Inhibition,%,87.1
CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1C1CC(C)(C)NC(C)(C)C1,CHEMBL323479,Inhibition,%,49.6,Inhibition,%,49.6
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)c3ccccc3)c2)[nH]1,CHEMBL111364,Inhibition,%,79.2,Inhibition,%,79.2
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(OC(C)C)c2)[nH]1,CHEMBL111210,Inhibition,%,49.6,Inhibition,%,49.6
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1C,CHEMBL432798,Inhibition,%,16.5,Inhibition,%,16.5
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)c3ccccc3)c2)n1C,CHEMBL324977,Inhibition,%,85.8,Inhibition,%,85.8
N#Cc1ccc(Cn2cncc2CN[C@H]2CCN(Cc3cccc(Cl)c3)C2=O)cc1,CHEMBL312137,Inhibition,%,,Inhibition,,
N#Cc1ccc2cc1Oc1cccc(c1)CN1CC[C@@H](NCc3cncn3C2)C1=O,CHEMBL502560,Inhibition,%,,Inhibition,,
CN1Cc2cncn2Cc2ccc(C#N)c(c2)Oc2ccc3cccc(c3c2)N2CCC1C2=O,CHEMBL312121,Inhibition,%,,Inhibition,,
N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CC[C@H](NC(=O)Cc3cncn3C2)C1=O,CHEMBL523080,Inhibition,%,,Inhibition,,
CC1c2ccc(C#N)c(c2)Oc2cccc(c2)CN2CCC(NCc3cncn31)C2=O,CHEMBL78742,Inhibition,%,,Inhibition,,
N#Cc1ccc2cc1Oc1ccc(Br)c(c1)CN1CCC(NCc3cncn3C2)C1=O,CHEMBL311561,Inhibition,%,,Inhibition,,
N#Cc1ccc2cc1Oc1cccc(c1)-c1ccccc1N1CCC(NCc3cncn3C2)C1=O,CHEMBL310586,Inhibition,%,,Inhibition,,
C[C@@H]1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1,CHEMBL351231,Inhibition,%,0.0,Inhibition,%,0.0
C[C@@H]1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1,CHEMBL351231,Inhibition,%,3.2,Inhibition,%,3.2
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2ccc(F)c(C(F)(F)F)c2)cc1,CHEMBL195574,Inhibition,%,87.0,Inhibition,%,87.0
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2ccc(Cl)c(C(F)(F)F)c2)cc1,CHEMBL365330,Inhibition,%,97.0,Inhibition,%,97.0
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2cccnc2)cc1,CHEMBL539164,Inhibition,%,44.0,Inhibition,%,44.0
CCOc1ccc2cc(-c3cccnc3)ccc2c1,CHEMBL193343,Inhibition,%,,Inhibition,%,
CC(C(=O)O)c1ccc(-c2ccc(OC3CCCCC3)cc2)c(F)c1,CHEMBL380778,Inhibition,%,50.0,Inhibition,%,50.0
CC(c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1)c1nnn[nH]1,CHEMBL196070,Inhibition,%,50.0,Inhibition,%,50.0
CC(C(=O)NS(C)(=O)=O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,CHEMBL197305,Inhibition,%,50.0,Inhibition,%,50.0
CC(c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1)c1noc(O)n1,CHEMBL382746,Inhibition,%,50.0,Inhibition,%,50.0
CCc1nc(-c2cccc(C)c2)c(-c2ccncc2)s1,CHEMBL198334,Inhibition,%,48.5,Inhibition,%,48.5
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(C)c2)s1,CHEMBL371209,Inhibition,%,24.0,Inhibition,%,24.0
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(F)c2)s1,CHEMBL198922,Inhibition,%,-5.1,Inhibition,%,-5.1
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(N)c2)s1,CHEMBL197983,Inhibition,%,10.2,Inhibition,%,10.2
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(Cl)c2)s1,CHEMBL197776,Inhibition,%,1.2,Inhibition,%,1.2
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(C)=O)c2)s1,CHEMBL371920,Inhibition,%,17.2,Inhibition,%,17.2
CCC(=O)Nc1cc(-c2sc(CC)nc2-c2cccc(C)c2)ccn1,CHEMBL199160,Inhibition,%,13.0,Inhibition,%,13.0
CCCC(=O)Nc1cc(-c2sc(CC)nc2-c2cccc(C)c2)ccn1,CHEMBL197772,Inhibition,%,16.9,Inhibition,%,16.9
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)C3CCCCC3)c2)s1,CHEMBL198383,Inhibition,%,-4.3,Inhibition,%,-4.3
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)Cc3ccccc3)c2)s1,CHEMBL197581,Inhibition,%,7.2,Inhibition,%,7.2
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)CCc3ccccc3)c2)s1,CHEMBL194201,Inhibition,%,12.9,Inhibition,%,12.9
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,CHEMBL363648,Inhibition,%,4.3,Inhibition,%,4.3
CCc1nc(-c2cccc(Cl)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,CHEMBL194595,Inhibition,%,8.2,Inhibition,%,8.2
CCc1nc(-c2ccccc2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,CHEMBL371188,Inhibition,%,-12.5,Inhibition,%,-12.5
CCc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,CHEMBL425909,Inhibition,%,2.4,Inhibition,%,2.4
CCc1nc(-c2cccc(C(F)(F)F)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,CHEMBL197517,Inhibition,%,10.3,Inhibition,%,10.3
CCc1nc(-c2ccccc2C)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,CHEMBL196386,Inhibition,%,,Inhibition,%,
CCc1nc(-c2ccc(C)cc2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,CHEMBL196247,Inhibition,%,,Inhibition,%,
CCc1nc(-c2cccc(OC)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,CHEMBL369936,Inhibition,%,,Inhibition,%,
CCc1nc(-c2ccc(OC)cc2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,CHEMBL197753,Inhibition,%,,Inhibition,%,
Cc1cccc(-c2nc(C)sc2-c2ccnc(NC(=O)c3ccccc3)c2)c1,CHEMBL383569,Inhibition,%,,Inhibition,%,
CCCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,CHEMBL197545,Inhibition,%,,Inhibition,%,
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NCc3ccccc3)c2)s1,CHEMBL196576,Inhibition,%,9.5,Inhibition,%,9.5
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NCCc3ccccc3)c2)s1,CHEMBL196575,Inhibition,%,17.3,Inhibition,%,17.3
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NCCCc3ccccc3)c2)s1,CHEMBL381864,Inhibition,%,17.9,Inhibition,%,17.9
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(N(C)C(=O)c3ccccc3)c2)s1,CHEMBL372384,Inhibition,%,,Inhibition,%,
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC3CCCC3)c2)s1,CHEMBL197912,Inhibition,%,15.9,Inhibition,%,15.9
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(N3CCCC3)c2)s1,CHEMBL370405,Inhibition,%,21.9,Inhibition,%,21.9
Cc1cccc(-c2nc(-c3ccc(S(C)(=O)=O)cc3)sc2-c2ccncc2)c1,CHEMBL195942,Inhibition,%,25.0,Inhibition,%,25.0
Cc1cccc(-c2nc(-c3ccc(S(C)(=O)=O)cc3)sc2-c2ccnc(C)c2)c1,CHEMBL364441,Inhibition,%,-1.7,Inhibition,%,-1.7
Cc1cccc(-c2nc(-c3ccc(S(C)(=O)=O)cc3)sc2-c2ccnc(NC(=O)c3ccccc3)c2)c1,CHEMBL371716,Inhibition,%,5.7,Inhibition,%,5.7
Cc1cccc(-c2nc(-c3ccc(S(C)(=O)=O)cc3)sc2-c2ccnc(NC(=O)Cc3ccccc3)c2)c1,CHEMBL197799,Inhibition,%,6.8,Inhibition,%,6.8
Cc1cccc(-c2nc(-c3ccc(S(C)(=O)=O)cc3)sc2-c2ccnc(NCc3ccccc3)c2)c1,CHEMBL198323,Inhibition,%,11.3,Inhibition,%,11.3
Cc1cccc(-c2nc(-c3ccc(S(C)(=O)=O)cc3)sc2-c2ccnc(NCCc3ccccc3)c2)c1,CHEMBL382103,Inhibition,%,12.0,Inhibition,%,12.0
NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,CHEMBL420311,Inhibition,%,-26.0,Inhibition,%,-26.0
Cc1ccc2[nH]c3c(c2c1)CCCC3C(N)=O,CHEMBL115600,Inhibition,%,-16.0,Inhibition,%,-16.0
NC(=O)C1CCCc2c1[nH]c1ccccc21,CHEMBL112265,Inhibition,%,-22.0,Inhibition,%,-22.0
NC(=O)C1CCCCc2c1[nH]c1ccc(Cl)cc21,CHEMBL446446,Inhibition,%,-12.0,Inhibition,%,-12.0
COc1ccc2c(c1)C=C(c1cccnc1)C2,CHEMBL206300,Inhibition,%,7.0,Inhibition,%,7.0
N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cc(CNC(N)=O)ccc4O)c3O)nc2c1,CHEMBL206387,Inhibition,%,40.0,Inhibition,%,40.0
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCNC(C)=O)CCC3)cc1,CHEMBL411885,Inhibition,%,92.0,Inhibition,%,92.0
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2CSc2ccc3c(c2)N(CC(=O)O)C(=O)CO3)cc1,CHEMBL380360,Inhibition,%,,Inhibition,,
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CC(=O)O)C(=O)CO3)cc1,CHEMBL381076,Inhibition,%,,Inhibition,,
COCCCN1C(=O)COc2ccc(SC[C@H]3CNCC(=O)N3c3ccc(OCCCOCc4ccccc4OC)cc3)cc21,CHEMBL205345,Inhibition,%,95.0,Inhibition,%,95.0
COCCCN1C(=O)COc2ccc(OC[C@H]3CNCC(=O)N3c3ccc(OCCCOCc4ccccc4OC)cc3)cc21,CHEMBL382030,Inhibition,%,95.0,Inhibition,%,95.0
COCCCN1C(=O)CCc2ccc(OC[C@H]3CNCC(=O)N3c3ccc(OCCCOCc4ccccc4OC)cc3)cc21,CHEMBL193816,Inhibition,%,92.0,Inhibition,%,92.0
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCC(=O)O)CCC3)cc1,CHEMBL382144,Inhibition,%,,Inhibition,,
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCCO)CCC3)cc1,CHEMBL372416,Inhibition,%,71.0,Inhibition,%,71.0
COCCCN1CCCc2ccc(OC[C@H]3CNCC(=O)N3c3ccc(OCCCOCc4ccccc4OC)cc3)cc21,CHEMBL377531,Inhibition,%,96.0,Inhibition,%,96.0
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCOC(=O)C(C)C)CCC3)cc1,CHEMBL208112,Inhibition,%,92.0,Inhibition,%,92.0
CCC(=O)OCCN1CCCc2ccc(OC[C@H]3CNCC(=O)N3c3ccc(OCCCOCc4ccccc4OC)cc3)cc21,CHEMBL204741,Inhibition,%,96.0,Inhibition,%,96.0
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCOC(C)=O)CCC3)cc1,CHEMBL382026,Inhibition,%,87.0,Inhibition,%,87.0
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCN2CCOC2=O)CCC3)cc1,CHEMBL381568,Inhibition,%,,Inhibition,,
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCN2CCCC2=O)CCC3)cc1,CHEMBL380866,Inhibition,%,,Inhibition,,
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCN(C)C(C)=O)CCC3)cc1,CHEMBL377512,Inhibition,%,,Inhibition,,
CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2)c1,CHEMBL209821,Inhibition,%,,Inhibition,,
CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC(C)C)CC2)c1,CHEMBL379984,Inhibition,%,,Inhibition,,
